"trip_id","caregiver","duration"
"14","mother",95
"14","boy",621
"14","mother",356
"14","girl",317
"14","mother",50
"14","girl",561
"14","mother",945
"14","girl",1430
"14","girl",404
"14","girl",1676
"14","girl",951
"14","mother",99
"14","mother",1176
"14","mother",221
"15","mother",1254
"15","mother",3509
"15","Ground",86
"15","mother",49
"15","mother",77
"15","mother",284
"15","mother",1288
"16","mother",2018
"16","mother",45
"16","mother",315
"16","mother",233
"16","mother",747
"16","girl",351
"16","mother",881
"16","girl",1271
"16","mother",345
"16","mother",321
"16","mother",107
"16","girl",2368
"16","mother",65
"16","girl",1780
"16","mother",193
"16","mother",1027
"16","mother",1106
"16","mother",61
"16","mother",1515
"16","mother",296
"16","mother",30
"16","mother",223
"16","mother",433
"16","mother",318
"16","mother",1828
"16","girl",1391
"16","mother",178
"16","girl",55
"16","mother",72
"16","girl",65
"16","woman",587
"16","mother",208
"16","girl",239
"16","mother",3694
"17","mother",3719
"17","mother",58
"17","woman",2854
"17","mother",790
"17","woman",360
"17","mother",281
"17","woman",2398
"17","mother",1530
"17","mother",1322
"17","mother",130
"17","woman",4185
"17","mother",613
"17","mother",168
"17","woman",1252
"17","mother",121
"17","mother",267
"17","mother",471
"17","mother",3050
"18","mother",1092
"18","mother",1931
"18","mother",65
"18","mother",112
"18","mother",229
"18","woman",2354
"18","woman",109
"18","mother",2777
"18","Ground",673
"18","mother",329
"18","mother",898
"18","Ground",1369
"18","woman",26
"18","woman",157
"18","woman",93
"18","woman",473
"18","woman",93
"18","woman",933
"18","woman",521
"18","woman",442
"18","woman",177
"18","mother",33
"18","mother",1526
"18","mother",1192
"18","Ground",197
"18","mother",2389
"18","woman",1916
"18","woman",729
"18","woman",1536
