"trip_id","caregiver","duration"
"14","mother",35
"14","Ground",89
"14","mother",536
"14","boy",90
"14","mother",254
"14","Ground",42
"14","Ground",393
"14","Ground",411
"14","mother",1057
"14","Ground",108
"14","mother",363
"14","Ground",158
"14","Ground",25
"14","Ground",1104
"14","girl",1193
"14","Ground",1296
"14","boy",598
"14","Ground",213
"14","Ground",100
"14","girl",962
"14","girl",508
"14","girl",95
"14","girl",621
"14","girl",356
"14","Ground",317
"14","girl",50
"14","Ground",561
"14","girl",945
"14","Ground",1430
"14","Ground",404
"14","Ground",1676
"14","Ground",951
"14","Ground",99
"14","girl",1176
"14","girl",221
"15","mother",1254
"15","Ground",3509
"15","Ground",86
"15","mother",49
"15","Ground",77
"15","Ground",284
"15","mother",1288
"16","mother",2018
"16","Ground",45
"16","mother",315
"16","Ground",233
"16","mother",747
"16","Ground",351
"16","mother",881
"16","Ground",1271
"16","mother",345
"16","Ground",321
"16","mother",107
"16","Ground",2368
"16","Ground",65
"16","Ground",1780
"16","Ground",193
"16","mother",1027
"16","Ground",1106
"16","Ground",61
"16","mother",1515
"16","Ground",296
"16","mother",30
"16","Ground",223
"16","mother",433
"16","Ground",318
"16","mother",1828
"16","Ground",1391
"16","mother",178
"16","Ground",55
"16","mother",72
"16","Ground",65
"16","Ground",587
"16","mother",208
"16","Ground",239
"16","mother",3694
"17","mother",3719
"17","Ground",58
"17","Ground",2854
"17","Ground",790
"17","Ground",360
"17","mother",281
"17","Ground",3928
"17","Ground",1322
"17","Ground",130
"17","Ground",4185
"17","Ground",613
"17","Ground",168
"17","Ground",1252
"17","Ground",121
"17","woman",267
"17","Ground",471
"17","woman",3050
"18","woman",1092
"18","woman",1931
"18","woman",65
"18","woman",112
"18","woman",229
"18","Ground",2354
"18","woman",109
"18","woman",2777
"18","woman",673
"18","woman",329
"18","woman",898
"18","Ground",1369
"18","mother",26
"18","Ground",157
"18","mother",93
"18","Ground",473
"18","mother",93
"18","Ground",933
"18","mother",521
"18","Ground",442
"18","mother",177
"18","Ground",33
"18","woman",1526
"18","Ground",1192
"18","Ground",197
"18","Ground",2389
"18","mother",1916
"18","Ground",729
"18","mother",1536
